,0
0,Arizona
1,Arkansas
2,Colorado
3,Connecticut
4,Delaware
5,Florida
6,Georgia
7,Idaho
8,Illinois
9,Indiana
10,Iowa
11,Kansas
12,Kentucky
13,Louisiana
14,Maryland
15,Massachusetts
16,Minnesota
17,Mississippi
18,Montana
19,Nevada
20,New Jersey
21,New Mexico
22,New York
23,North Carolina
24,North Dakota
25,Ohio
26,Pennsylvania
27,Rhode Island
28,South Carolina
29,South Dakota
30,Tennessee
31,Utah
32,Virginia
33,West Virginia
34,Wisconsin
35,Wyoming
